id,listing_name,host_id,host_name,neighborhood,latitude,longitude,room_type,property_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,rating,cleaning_fee,service_fee,instant_bookable,last_review
40,Monica Plains Stay,4155,Michael,Chelsea,40.626219,-73.802848,Shared room,Loft,35,13,353,2.22,110,4.5,45,38,False,2026-03-23
41,Davis Mountains Stay,9751,Elizabeth,Bronx,40.550633,-74.081794,Shared room,House,58,1,283,3.51,64,4.3,72,11,True,2025-07-24
42,Robert Mountains Stay,5136,Rhonda,Staten Island,40.876425,-73.908908,Hotel room,Condo,93,14,33,4.81,37,4.2,16,14,True,2025-07-29
43,Jim Lake Stay,9561,Vanessa,Staten Island,40.652151,-73.736598,Entire home/apt,House,180,5,440,7.06,219,3.6,17,11,True,2025-06-27
44,Gordon Roads Stay,2229,Katherine,Bronx,40.562613,-73.936593,Shared room,Villa,50,12,304,5.64,16,3.5,46,34,True,2025-05-27
45,Caldwell Lock Stay,9922,Christopher,Bronx,40.589924,-74.040404,Shared room,Villa,74,5,423,1.71,30,3.3,49,23,False,2026-03-11
46,Renee Mission Stay,9090,Gina,Chelsea,40.675104,-73.860785,Shared room,Villa,84,7,376,3.87,128,3.1,39,6,False,2025-07-22
47,Ryan Valley Stay,8141,Brittany,Manhattan,40.753914,-73.90331,Private room,Condo,153,2,240,4.18,170,3.6,23,15,False,2025-10-15
48,Leach Camp Stay,2442,David,Chelsea,40.625807,-73.97069,Shared room,Villa,24,13,206,10.38,0,4.3,79,34,False,2026-04-16
49,Bradley Road Stay,5375,Jenna,Bronx,40.719688,-73.728931,Shared room,Studio,26,8,450,8.38,62,3.1,40,15,False,2025-08-04
50,Gordon Fords Stay,3522,Ryan,Manhattan,40.69935,-73.813359,Hotel room,Apartment,110,9,361,3.28,247,5.0,41,34,True,2025-10-29
51,Bobby Ferry Stay,9318,Ashlee,Bronx,40.606869,-74.098974,Private room,Apartment,146,12,152,10.05,296,5.0,72,14,False,2025-08-11
52,Jason Walk Stay,6272,Kelly,Chelsea,40.847841,-73.70769,Shared room,Loft,68,4,292,4.6,210,3.1,70,29,False,2025-06-08
53,Christopher Dam Stay,8213,Amanda,Queens,40.539885,-73.735823,Hotel room,Apartment,105,1,369,1.73,335,4.9,19,35,False,2025-11-21
54,Evelyn Ridges Stay,6188,Christopher,Upper East Side,40.75072,-73.745025,Hotel room,Villa,177,8,446,6.49,316,3.1,46,19,True,2025-10-03
55,Sarah Mill Stay,6314,Maria,Brooklyn,40.818457,-73.982653,Entire home/apt,Condo,205,6,220,1.75,271,3.8,33,15,True,2026-04-03
56,Montgomery Estate Stay,3344,John,Upper East Side,40.592875,-73.844838,Hotel room,Studio,229,8,130,8.0,238,4.8,79,15,True,2025-09-29
57,Cannon Knolls Stay,5949,Susan,SoHo,40.579687,-73.946123,Shared room,Villa,78,8,54,2.85,292,3.7,47,23,True,2025-06-10
58,Gay Glen Stay,5689,Jason,Harlem,40.810296,-74.007953,Shared room,Apartment,83,13,180,2.63,97,4.2,27,11,True,2025-12-06
59,Gibbs Union Stay,6352,Mark,Chelsea,40.798992,-74.029744,Entire home/apt,Studio,306,3,402,6.47,187,4.1,44,15,False,2025-09-09
60,Cassandra Plains Stay,4696,Katie,Staten Island,40.844056,-73.810313,Shared room,Apartment,38,7,495,10.15,285,3.7,60,5,False,2025-08-12
61,Hensley Freeway Stay,7086,Christopher,Brooklyn,40.543338,-74.006471,Hotel room,Loft,290,1,317,10.61,287,3.7,38,9,False,2025-05-20
62,Stephens Freeway Stay,9071,Erica,Staten Island,40.546448,-74.00608,Hotel room,Apartment,157,9,69,4.66,189,4.3,79,31,True,2025-10-13
63,Coleman Mission Stay,7070,Mark,Brooklyn,40.586908,-73.922122,Hotel room,Studio,256,4,437,4.35,351,3.7,55,8,False,2025-12-23
64,Edwards Heights Stay,6464,Jerry,Bronx,40.597428,-74.04963,Entire home/apt,Condo,166,10,105,0.82,283,3.4,37,19,False,2026-02-27
65,Levy Mall Stay,3858,Tina,Upper East Side,40.543971,-73.753421,Entire home/apt,Loft,194,3,7,4.3,121,4.2,12,16,False,2026-04-17
66,Rodney Coves Stay,6931,Andrea,Queens,40.705295,-74.056378,Hotel room,Studio,194,9,113,11.34,22,4.5,76,24,False,2025-06-18
67,Corey Haven Stay,8267,Mitchell,Manhattan,40.529396,-74.067684,Entire home/apt,Condo,325,10,75,0.79,140,4.2,80,25,False,2025-07-12
68,Laura Summit Stay,2874,Alexandra,Williamsburg,40.841117,-73.839633,Shared room,Condo,32,13,282,8.65,110,3.9,39,31,False,2025-09-23
69,Cunningham Pines Stay,5176,Maria,Harlem,40.64972,-74.038944,Hotel room,Villa,160,8,34,1.09,43,3.2,22,28,True,2025-08-02
70,Jessica Mountains Stay,7929,Colton,Manhattan,40.847237,-73.811576,Shared room,Villa,65,5,307,3.75,53,4.2,37,14,False,2026-01-19
71,Logan Fort Stay,4705,Jonathan,Brooklyn,40.822889,-73.761938,Shared room,Studio,55,13,419,7.46,345,4.3,13,22,True,2026-02-10
72,Jennifer Track Stay,7566,Bobby,Staten Island,40.527834,-73.803612,Shared room,Loft,43,1,46,8.95,110,3.8,68,26,True,2025-11-05
73,James Harbors Stay,3579,Alec,Staten Island,40.801774,-74.080095,Shared room,Studio,26,2,139,5.32,217,4.0,66,31,False,2026-01-23
74,Hall Row Stay,8972,Amy,Williamsburg,40.710774,-73.976632,Entire home/apt,Loft,340,4,202,11.81,28,3.0,48,18,True,2026-01-03
75,Roberts Mill Stay,3116,Elizabeth,Staten Island,40.652083,-73.818531,Shared room,Apartment,75,9,286,10.0,181,3.1,15,32,True,2025-09-20
76,Tracey Extensions Stay,2887,John,Brooklyn,40.662013,-73.71352,Shared room,Studio,73,3,410,11.37,235,4.7,56,10,False,2026-03-20
77,Ramos Stream Stay,6083,James,Bronx,40.798322,-74.011371,Hotel room,Studio,181,13,86,0.92,324,3.2,75,17,False,2025-11-15
78,Michael Mill Stay,3504,Janice,Queens,40.804086,-73.837796,Private room,Apartment,105,3,487,9.27,252,3.9,67,25,False,2026-02-25
79,Alyssa Turnpike Stay,1920,Robert,Chelsea,40.640777,-74.070324,Entire home/apt,Condo,346,8,231,0.45,188,4.7,19,10,False,2025-09-19
80,Perez Loaf Stay,8792,Kelli,Upper East Side,40.700547,-73.716911,Entire home/apt,Condo,412,8,52,9.73,175,5.0,20,37,True,2026-04-23
81,James Crossroad Stay,7108,Aaron,Bronx,40.867175,-73.945033,Hotel room,Condo,173,13,173,8.15,26,4.6,52,9,False,2026-03-26
82,Charles Viaduct Stay,3317,Michael,Williamsburg,40.866699,-73.975907,Hotel room,Loft,100,11,357,7.95,66,4.2,20,24,False,2025-06-18
83,Roberts Drive Stay,7937,Donald,SoHo,40.703395,-74.092708,Private room,Villa,174,5,92,11.41,174,4.9,72,17,True,2026-03-04
84,Perez Rue Stay,9626,Elizabeth,Queens,40.515099,-73.965294,Entire home/apt,Loft,171,13,316,1.57,192,3.3,33,15,False,2026-04-21
85,Dawson Square Stay,5668,Michael,Harlem,40.800956,-73.78648,Shared room,Villa,76,4,273,2.87,240,4.8,34,28,False,2025-09-19
86,Shepard Place Stay,4271,Adrian,Staten Island,40.820504,-74.044641,Hotel room,Studio,289,5,26,7.69,190,4.1,23,38,True,2025-12-19
87,Melissa Walks Stay,8167,Cheryl,Brooklyn,40.536685,-73.735798,Private room,Loft,171,14,230,10.62,13,3.8,60,37,False,2026-01-13
88,John Via Stay,6493,Erika,Harlem,40.816552,-74.04496,Entire home/apt,Loft,234,5,469,9.96,356,4.7,70,33,True,2026-04-03
89,Thompson Path Stay,2821,Nathan,Manhattan,40.810469,-74.004944,Shared room,House,87,2,24,2.86,327,4.6,68,9,True,2025-08-31
90,Webb Cove Stay,8032,Richard,Upper East Side,40.500626,-73.958874,Entire home/apt,Villa,383,10,213,2.25,342,3.2,56,9,True,2025-10-26
91,Kelly Square Stay,1266,Jeffery,Chelsea,40.642838,-74.072976,Entire home/apt,Villa,318,4,375,7.89,53,4.5,52,13,True,2025-11-14
92,Pitts Shore Stay,3986,Jennifer,Williamsburg,40.824599,-74.07476,Shared room,Villa,81,13,483,5.49,150,3.4,35,7,False,2025-12-06
93,Oconnor Underpass Stay,4131,Morgan,Williamsburg,40.614444,-73.755145,Hotel room,Studio,272,1,443,7.87,139,3.2,57,32,False,2025-09-30
94,Andrews Corner Stay,9507,Michael,Harlem,40.606688,-74.066955,Shared room,House,67,7,40,5.17,92,4.1,51,11,True,2025-11-27
95,Brenda Parkways Stay,8272,Zachary,Staten Island,40.640619,-74.083058,Shared room,Condo,41,14,466,4.23,222,3.5,17,9,False,2025-11-08
96,Brandon Avenue Stay,2101,Alexis,Williamsburg,40.594398,-73.841935,Private room,Apartment,152,6,196,11.39,16,4.2,67,28,False,2025-09-28
97,Lisa Circle Stay,5566,Heather,Brooklyn,40.599845,-74.054621,Private room,Studio,141,12,95,5.99,198,4.8,25,21,False,2025-05-18
98,Heidi Place Stay,3223,Lisa,Chelsea,40.841131,-73.919183,Private room,Studio,165,12,227,11.97,349,4.9,50,27,True,2025-08-05
99,Michael Lake Stay,4673,Julie,Williamsburg,40.548545,-74.019608,Shared room,Loft,66,3,121,9.48,13,3.7,57,34,True,2025-07-04
100,Douglas Isle Stay,7708,David,Brooklyn,40.829336,-74.0705,Entire home/apt,Loft,323,6,328,0.89,238,4.4,54,13,True,2026-03-08
101,Gregory View Stay,3653,Daniel,Harlem,40.629064,-73.816267,Entire home/apt,Apartment,385,6,485,11.29,145,4.7,42,17,False,2026-03-10
102,Smith Loop Stay,6531,Alexander,Staten Island,40.837012,-73.874553,Entire home/apt,Studio,448,14,442,0.34,23,4.9,43,18,False,2025-07-01
103,Moore Causeway Stay,5012,Jamie,Manhattan,40.821875,-73.826004,Hotel room,Villa,203,5,232,0.88,30,3.3,63,35,False,2026-01-29
104,Scott Crescent Stay,3142,Jason,SoHo,40.804266,-73.894008,Private room,Loft,121,2,163,2.9,62,3.5,41,14,True,2026-04-18
105,Teresa Passage Stay,6364,Kayla,Staten Island,40.873501,-73.811549,Hotel room,Studio,288,4,390,1.91,263,3.9,49,36,True,2026-03-28
106,Christopher Inlet Stay,5609,Maria,Harlem,40.697958,-73.747064,Hotel room,House,92,11,344,5.65,274,3.0,23,32,True,2025-12-29
107,Callahan Glens Stay,4189,Kimberly,SoHo,40.64501,-73.984559,Hotel room,Loft,225,7,258,5.4,281,3.6,25,13,True,2025-10-24
108,Michael Motorway Stay,9341,Mary,SoHo,40.660555,-74.083898,Shared room,Studio,45,1,70,8.56,242,4.0,29,37,True,2025-11-27
109,Hamilton Skyway Stay,9351,Julie,Upper East Side,40.712936,-73.816504,Shared room,House,63,5,243,9.79,188,3.7,24,31,False,2025-05-26
110,Arnold Lights Stay,8871,Lacey,Manhattan,40.568205,-73.84839,Hotel room,Loft,229,10,396,10.09,75,4.6,41,7,True,2026-02-05
111,Seth Glen Stay,4340,Michael,Manhattan,40.664151,-73.790011,Hotel room,Loft,256,8,446,10.18,31,4.4,76,18,False,2025-06-08
112,Welch Canyon Stay,9950,Michael,Chelsea,40.641715,-73.791204,Hotel room,Loft,167,12,348,7.72,354,3.5,71,17,True,2025-12-22
113,Amanda Shoals Stay,9011,Christopher,Williamsburg,40.626816,-73.960479,Shared room,House,46,13,369,3.28,62,4.1,79,29,False,2025-11-18
114,Stanley Roads Stay,5201,Veronica,Queens,40.798935,-74.014405,Shared room,Apartment,64,14,275,3.25,287,4.4,27,11,True,2026-01-09
115,Roberts Wells Stay,6411,Ashley,Manhattan,40.786943,-74.059782,Private room,Villa,53,13,70,0.06,281,5.0,30,31,False,2025-09-11
116,Walker Street Stay,4804,Isabella,Bronx,40.714061,-73.810753,Shared room,Loft,31,1,467,11.06,213,4.8,32,7,False,2025-09-02
117,Baxter Lodge Stay,5662,Alexis,Queens,40.68174,-73.843475,Shared room,Apartment,33,9,252,10.67,68,4.7,69,22,True,2026-03-17
118,Smith Fork Stay,6523,Kimberly,SoHo,40.816307,-73.872888,Private room,Villa,105,13,98,2.11,327,4.8,64,37,False,2026-03-30
119,Clinton Ports Stay,1111,Carl,Harlem,40.604314,-74.005791,Entire home/apt,House,191,13,136,11.45,154,4.2,11,21,False,2025-05-24
120,Romero River Stay,7642,Elizabeth,Bronx,40.774429,-73.730758,Entire home/apt,Villa,180,12,394,3.73,60,4.3,47,28,True,2026-01-21
121,Richard Loaf Stay,9998,Christopher,Queens,40.865119,-73.79706,Hotel room,House,259,13,340,9.91,126,4.4,20,38,False,2025-08-16
122,Melissa Isle Stay,4312,Debra,SoHo,40.729081,-74.040059,Entire home/apt,Studio,177,6,437,6.24,59,4.4,72,10,False,2026-04-15
123,Adrian Harbors Stay,8575,Amy,Chelsea,40.769107,-73.976732,Private room,Studio,156,1,202,3.05,1,4.5,19,7,False,2025-11-18
124,Thomas Flat Stay,3948,Monica,Brooklyn,40.807589,-73.793669,Entire home/apt,Apartment,361,12,330,11.57,191,5.0,58,33,False,2025-11-02
125,Sweeney Cliff Stay,7439,Wayne,Brooklyn,40.711537,-73.808857,Private room,Villa,70,4,427,0.04,11,5.0,69,39,False,2025-08-14
126,Tyler Ports Stay,4088,Connie,Harlem,40.874964,-73.80999,Private room,House,128,2,16,9.71,214,4.2,12,20,True,2026-04-09
127,Seth Hills Stay,1724,Michael,Brooklyn,40.660906,-74.006264,Entire home/apt,Condo,426,4,386,10.36,28,3.3,47,19,False,2025-07-22
128,Michael Via Stay,7775,Kara,Upper East Side,40.6202,-74.075617,Shared room,House,86,10,450,8.82,89,4.3,64,40,False,2026-04-19
129,Traci Keys Stay,5913,Austin,SoHo,40.650584,-73.798234,Hotel room,Studio,118,8,123,10.19,153,4.7,28,34,True,2025-07-30
130,Holmes Parkways Stay,5177,John,Harlem,40.581335,-73.841318,Hotel room,Studio,142,8,433,4.45,274,4.4,34,8,False,2025-11-01
131,Paul Mill Stay,6455,Vanessa,Upper East Side,40.621275,-73.736402,Entire home/apt,Apartment,216,4,479,2.28,60,4.5,71,20,True,2025-10-22
132,Gregory Parkways Stay,6886,Andrew,Bronx,40.623369,-73.956142,Shared room,Loft,88,8,238,1.18,240,4.5,50,18,False,2025-12-04
133,Duffy Grove Stay,7841,Summer,Harlem,40.618077,-74.021523,Entire home/apt,Studio,233,4,194,6.84,125,4.0,53,21,False,2025-06-19
134,Hill Wells Stay,9954,Jessica,Chelsea,40.695327,-73.73324,Hotel room,House,115,9,328,11.49,268,3.1,19,8,True,2025-10-14
135,Heather Courts Stay,9285,Shane,Queens,40.682404,-74.07582,Private room,Apartment,78,11,341,11.21,247,4.3,12,5,False,2026-05-07
136,Curtis Heights Stay,8054,Gail,Manhattan,40.822467,-73.736091,Shared room,Studio,84,2,470,1.16,76,3.5,77,21,False,2025-12-28
137,Clark Land Stay,4700,Alan,Harlem,40.61999,-73.768775,Entire home/apt,Loft,327,2,334,11.9,332,4.5,21,30,False,2025-11-01
138,Rachel Mission Stay,9189,Patricia,Williamsburg,40.838132,-73.842037,Hotel room,Apartment,101,6,289,11.73,48,4.8,15,19,True,2025-05-24
139,Ruiz Mill Stay,1539,Anthony,Upper East Side,40.571742,-73.759829,Hotel room,Loft,219,1,492,2.49,73,4.5,60,9,False,2026-02-19
140,David Mall Stay,3292,Caleb,Upper East Side,40.816199,-73.824276,Private room,Studio,178,2,256,8.95,177,3.1,65,19,True,2025-11-20
141,Young Circle Stay,4737,Richard,Upper East Side,40.642324,-73.723543,Hotel room,Loft,205,7,95,8.16,338,3.8,47,20,True,2026-04-01
142,Perry View Stay,6909,Brett,Staten Island,40.54262,-74.097922,Private room,Condo,79,5,227,4.32,138,3.2,21,16,False,2025-09-26
143,Edward Valley Stay,2524,Austin,Williamsburg,40.73877,-73.786225,Hotel room,Apartment,221,14,197,0.15,211,3.8,20,40,True,2025-07-25
144,Jennifer Islands Stay,5933,Steven,Williamsburg,40.607363,-74.041626,Private room,Villa,83,3,222,3.31,153,4.0,19,28,False,2026-01-07
145,Debbie Dam Stay,7483,Nicholas,Chelsea,40.632887,-73.851923,Private room,Condo,74,13,441,3.95,171,3.9,27,24,False,2025-07-09
146,Taylor Shoals Stay,9044,John,Bronx,40.887105,-73.78721,Hotel room,Loft,154,6,192,3.36,201,3.7,35,39,True,2025-05-29
147,Perry Gateway Stay,5773,Stephen,Williamsburg,40.832513,-74.072337,Entire home/apt,Villa,356,14,407,9.54,344,4.0,48,20,False,2025-06-10
148,Mullins Rest Stay,7566,Michelle,Queens,40.713747,-73.730602,Hotel room,Condo,229,14,354,5.02,18,4.6,56,39,True,2026-03-19
149,Paula Estates Stay,6432,Dominique,Bronx,40.886287,-73.927818,Shared room,House,71,1,50,3.1,261,4.5,38,33,False,2025-10-25
150,Scott Way Stay,7815,Amber,Chelsea,40.868219,-74.065658,Private room,Loft,163,14,481,8.76,178,3.6,68,18,False,2025-11-16
151,Walker Flats Stay,5919,Michael,Chelsea,40.517873,-73.815688,Entire home/apt,Condo,489,1,434,4.12,55,4.4,31,20,True,2025-08-04
152,Campbell Pike Stay,7636,William,Queens,40.751904,-74.025445,Shared room,Studio,49,11,221,4.75,314,4.8,67,32,False,2026-05-11
153,Matthew Plains Stay,9796,Colleen,Bronx,40.574784,-73.969606,Private room,Loft,56,8,58,3.15,250,4.1,50,29,False,2025-07-17
154,Brian Villages Stay,2388,Erin,Brooklyn,40.768844,-73.974726,Shared room,Loft,58,4,156,1.4,191,4.4,75,29,False,2025-07-12
155,Jenkins Fall Stay,3838,Tiffany,Queens,40.721965,-73.904143,Hotel room,Condo,257,3,95,3.77,230,4.2,55,5,False,2026-03-05
156,Peck Valleys Stay,9056,Todd,Bronx,40.666252,-73.764043,Hotel room,Studio,255,8,85,0.99,15,4.6,38,23,True,2025-12-24
157,Justin Avenue Stay,2854,David,Bronx,40.729086,-73.992844,Shared room,House,90,9,421,11.89,277,4.6,15,33,True,2025-10-08
158,Owens Canyon Stay,2425,Andrea,Brooklyn,40.675628,-73.702417,Private room,Loft,155,13,415,2.84,301,4.4,64,15,True,2026-01-28
159,David Skyway Stay,9827,Gloria,Bronx,40.567351,-73.7084,Entire home/apt,Studio,299,5,148,6.87,263,5.0,22,13,False,2026-04-13
160,Mason Forge Stay,6277,Michael,Staten Island,40.831393,-73.795411,Private room,Villa,103,11,201,5.87,295,4.3,63,29,False,2026-04-05
161,Frank Stravenue Stay,6362,Jeremy,Brooklyn,40.732782,-73.752437,Hotel room,Studio,204,14,375,1.12,234,4.3,55,9,False,2026-01-22
162,Sanchez Pine Stay,9967,Joshua,Harlem,40.731173,-73.873543,Private room,Condo,122,8,403,4.12,349,4.5,15,11,False,2026-05-05
163,Ashley Port Stay,3161,Ashley,Brooklyn,40.852859,-73.979254,Private room,Condo,40,14,477,10.52,47,4.3,42,10,False,2025-06-07
164,Jones Ville Stay,2494,Morgan,Queens,40.781479,-74.099565,Entire home/apt,Condo,440,8,39,1.59,115,4.0,66,5,True,2025-05-22
165,Castillo Place Stay,4751,James,SoHo,40.653228,-73.807695,Entire home/apt,Condo,475,2,52,3.76,153,3.3,27,14,True,2025-08-15
166,Reyes Curve Stay,4490,Austin,Upper East Side,40.751232,-74.03945,Entire home/apt,Studio,452,7,315,8.24,111,3.2,22,13,True,2025-07-16
167,Tracy Greens Stay,2380,John,Harlem,40.599267,-73.8596,Shared room,Condo,51,12,311,3.42,353,3.1,48,18,True,2025-10-25
168,Martin Orchard Stay,9185,Diane,Staten Island,40.755233,-74.071595,Entire home/apt,House,373,1,184,11.21,67,3.8,63,28,True,2025-09-14
169,Michael Drive Stay,1652,Trevor,Brooklyn,40.869032,-73.720528,Entire home/apt,Studio,154,7,259,3.44,364,4.0,63,32,False,2026-04-01
170,Foster Viaduct Stay,4329,Crystal,Williamsburg,40.889725,-74.037849,Private room,Loft,119,6,200,7.04,332,4.4,18,24,False,2026-01-11
171,Chase Shoals Stay,1901,Sharon,Manhattan,40.623716,-73.803323,Private room,Apartment,69,12,89,1.43,362,3.3,11,15,False,2025-11-17
172,Brittany Lane Stay,2934,Melissa,Williamsburg,40.808572,-74.088257,Shared room,House,54,13,219,3.26,32,3.5,19,36,False,2025-08-25
173,Delgado Glens Stay,5179,Cynthia,SoHo,40.809332,-73.742293,Entire home/apt,Condo,410,11,370,1.38,260,3.0,11,20,True,2025-09-14
174,Howard Manor Stay,7870,Christopher,SoHo,40.589806,-74.000695,Hotel room,House,285,12,163,3.26,39,4.1,25,37,True,2026-02-11
175,Andrew Manors Stay,6090,Joshua,Bronx,40.63092,-73.878763,Entire home/apt,Condo,155,1,188,2.41,288,4.6,41,34,False,2025-07-15
176,Stephanie Curve Stay,7718,Chris,Chelsea,40.509564,-73.883382,Private room,Villa,102,11,429,8.32,4,4.9,10,29,False,2026-03-21
177,Osborn Station Stay,5584,Stacy,Bronx,40.537211,-73.73149,Private room,Condo,55,14,266,4.96,190,3.9,20,11,True,2025-06-21
178,Andrea Point Stay,3141,Kevin,Harlem,40.594709,-73.995604,Entire home/apt,Studio,410,6,474,9.61,358,4.7,51,25,False,2025-12-25
179,Tamara Neck Stay,3693,William,Bronx,40.679827,-73.974387,Entire home/apt,House,189,2,274,4.3,106,3.9,69,21,True,2026-03-28
180,Cox Road Stay,6370,Christine,Queens,40.55933,-73.815537,Shared room,Villa,47,6,202,6.16,346,3.6,32,6,False,2025-09-24
181,Dalton Path Stay,1195,Donald,Williamsburg,40.524668,-73.787616,Private room,Apartment,66,4,66,2.38,205,3.7,20,21,True,2026-05-02
182,Hall Gateway Stay,6432,Evelyn,Brooklyn,40.549011,-73.723088,Private room,Villa,72,1,86,11.09,221,4.6,60,36,True,2025-10-30
